listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted
4233491ha,7,1,Cathy E.,Lovely place,4,2017-05-27T00:00:00.000+0000,VRBO,2017-06-01T13:51:00.000+0000
4233491ha,7,2,Jane A.,We came back,5,2017-05-19T00:00:00.000+0000,VRBO,2017-05-30T20:52:00.000+0000
4233491ha,7,3,Robert A.,Stay in Kingston,5,2017-02-04T00:00:00.000+0000,VRBO,2017-02-06T15:41:00.000+0000
4233491ha,7,4,Becky  G.,"really cute place, and fantastic hospitality!",5,2017-01-14T00:00:00.000+0000,VRBO,2017-01-15T19:09:00.000+0000
4233491ha,7,5,Elizabeth b.,Excellent Stay!,5,2016-10-18T00:00:00.000+0000,VRBO,2016-10-27T20:18:00.000+0000
4233491ha,7,6,Krystyna B.,Weekend Get-A-Way,5,2016-10-07T00:00:00.000+0000,VRBO,2016-10-10T18:42:00.000+0000
4233491ha,7,7,Anonymous,Beautiful Kingston house in Rondout,5,2016-07-22T00:00:00.000+0000,VRBO,2016-07-31T09:13:00.000+0000
855036,11,1,Linda L.,"Pretty, Peaceful Lakehouse",5,2017-05-26T00:00:00.000+0000,VRBO,2017-06-01T13:02:00.000+0000
855036,11,2,DENNIS C.,"Quiet, Peaceful Setting",4,2017-05-09T00:00:00.000+0000,VRBO,2017-05-25T22:29:00.000+0000
855036,11,3,Marty and Shirley A.,Great Lakehouse,5,2017-05-01T00:00:00.000+0000,VRBO,2017-05-06T22:00:00.000+0000
855036,11,4,Linda T.,This house is a wonderful retreat!,5,2017-03-31T00:00:00.000+0000,VRBO,2017-04-02T12:50:00.000+0000
855036,11,5,Oliver S.,Beautiful and tranquil.,5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-09T00:31:00.000+0000
855036,11,6,Paula G.,"Cozy, Quiet with Beautiful Views and Amenities",4,2016-10-29T00:00:00.000+0000,VRBO,2016-11-07T13:47:00.000+0000
855036,11,7,Kitty S.,Such a lovely place!,5,2016-10-01T00:00:00.000+0000,VRBO,2016-10-04T17:51:13.473+0000
855036,11,8,Mary M.,"Beautiful lake house, nestled in the woods with breathtaking views of the lake.",5,2016-09-23T00:00:00.000+0000,VRBO,2016-10-02T00:12:00.000+0000
855036,11,9,Evelyn F.,Sweet cottage!,5,2016-08-22T00:00:00.000+0000,VRBO,2016-08-29T09:56:00.000+0000
855036,11,10,robin f.,Fantastic!,5,2016-08-08T00:00:00.000+0000,VRBO,2016-08-26T13:59:00.000+0000
855036,11,11,Nancy S.,Wonderful week,5,2016-08-15T00:00:00.000+0000,VRBO,2016-08-25T01:11:00.000+0000
3764616ha,10,1,Chris M.,2nd stay,5,2017-05-26T00:00:00.000+0000,VRBO,2017-05-30T18:06:00.000+0000
3764616ha,10,2,Raffina K.,"Amazing house, great location.",5,2017-05-12T00:00:00.000+0000,VRBO,2017-05-16T20:12:00.000+0000
3764616ha,10,3,Amy L.,Relaxing and secluded,5,2017-04-13T00:00:00.000+0000,VRBO,2017-04-27T14:04:00.000+0000
3764616ha,10,4,Kelly T.,Wonderfully secluded location in a super comfy house,5,2016-12-30T00:00:00.000+0000,VRBO,2017-01-16T18:29:00.000+0000
3764616ha,10,5,Scott L.,"Beautiful, private, quiet location & home",5,2016-09-16T00:00:00.000+0000,VRBO,2016-09-22T15:08:00.000+0000
3764616ha,10,6,Anonymous,A HOUSE BUILT FOR ESCAPE,5,2016-08-13T00:00:00.000+0000,VRBO,2016-09-11T22:24:10.730+0000
3764616ha,10,7,Chris M.,Amazing,5,2016-09-03T00:00:00.000+0000,VRBO,2016-09-06T20:23:00.000+0000
3764616ha,10,8,Scott T.,Nice and quiet,3,2016-08-06T00:00:00.000+0000,VRBO,2016-08-26T11:20:00.000+0000
3764616ha,10,9,Dharamraj S.,The Perfect Relaxation Getaway !,5,2016-07-29T00:00:00.000+0000,VRBO,2016-08-03T16:14:00.000+0000
3764616ha,10,10,Ada M.,Beautiful Woodsy Getaway,5,2016-07-02T00:00:00.000+0000,VRBO,2016-07-07T20:45:23.653+0000
3534873ha,23,1,Nancy B.,Lovely Woodstock Vacation Home,5,2017-05-26T00:00:00.000+0000,VRBO,2017-05-29T16:39:00.000+0000
3534873ha,23,2,Casey R.,"Lovely, peaceful setting",5,2016-09-02T00:00:00.000+0000,VRBO,2016-09-06T01:23:00.000+0000
3534873ha,23,3,amanda d.,Wonderful stay in Woodstock,5,2016-08-25T00:00:00.000+0000,VRBO,2016-08-31T13:53:00.000+0000
3534873ha,23,4,emily l.,Wonderful home for a family vacation,5,2016-07-23T00:00:00.000+0000,VRBO,2016-07-31T00:35:00.000+0000
3534873ha,23,5,annie p.,Great Location with Something for Everyone,5,2016-06-30T00:00:00.000+0000,VRBO,2016-07-21T00:57:00.000+0000
3534873ha,23,6,Greg O.,A lovely house,5,2016-06-09T00:00:00.000+0000,VRBO,2016-06-15T13:34:00.000+0000
3534873ha,23,7,Matthew H.,One of the best houses I've rented,5,2016-05-27T00:00:00.000+0000,VRBO,2016-06-03T14:30:00.000+0000
