listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
916492,"Modern 2BR/2BA w/ pool, BBQ, & fitness center - Two Bedroom Apartment, Sleeps 6",37.34067698,-121.97857115,"Santa Clara, CA, USA",0,,400,,,,,,,6,2,2,apartment,Yes,2016,Within an hour,,"June 7, 2017",apartment,,0,,,San Jose,CA
798639,"5 minutes to Levi's, Beautiful 3 Bd/2ba Santa Clara Home",37.366921,-121.969948,"Santa Clara, CA, USA",0,,,1,,,150,9.25%,2,6,3,2,house,No,2015,Within a few days,30%,"January 28, 2016",house,,,6,,San Jose,CA
1000612,Newly updated Santa Clara luxury apartment home!,37.398104,-121.94346,"North San Jose, San Jose, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,961,6,,San Jose,CA
1000641,Newly updated Santa Clara luxury apartment home!,37.3971598,-121.9433028,"North San Jose, San Jose, CA, USA",0,,186,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,961,6,,San Jose,CA
815060,not avaiable for rent,37.397395,-121.958537,"North San Jose, San Jose, CA, USA",0,,,3,,,,,3,7,4,3,townhome,No,2016,Within a few days,66%,"January 29, 2016",townhome,,,7,,San Jose,CA
1000638,Newly updated Santa Clara luxury apartment home!,37.3971598,-121.9433028,"North San Jose, San Jose, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,961,6,,San Jose,CA
810627,Stylish And Sunny Home - Right Next To Levi's Stadium!,37.399859,-121.948653,"North San Jose, San Jose, CA, USA",0,,,3,,,,,3,8,2,3,house,No,2016,Within a few days,20%,"January 20, 2016",house,,,8,,San Jose,CA
806822,Super Bowl 2016 Vacation Home,37.361378,-121.99106,"Santa Clara, CA, USA",0,,,3,,,,9.5%,7,6,3,2,house,Yes,2016,Within a few days,50%,"January 11, 2016",house,,,6,,San Jose,CA
1085260,"Quiet, Light-filled 3BR with Shared Pool in Cupertino",37.321174,-122.01323,"Rancho Rinconada, Cupertino, CA, USA",0,,266,,,,,,2,6,3,2,townhome,Yes,2006,Within an hour,,"June 7, 2017",townhome,,,6,,San Jose,CA
1000650,Newly updated Santa Clara luxury apartment home!,37.3999309,-121.9442261,"North San Jose, San Jose, CA, USA",0,,187,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,950,6,,San Jose,CA
950799,Unwind From High Tech and Enjoy the Amenities,37.322249,-122.0234447,"West Valley, San Jose, CA, USA",0,,224,,,,,,2,4,2,2,apartment,Yes,2014,Within 12 hours,,"June 7, 2017",apartment,1,1087,4,,San Jose,CA
1000640,Newly updated Santa Clara luxury apartment home!,37.3998417,-121.946027,"North San Jose, San Jose, CA, USA",0,,185,,,,,,0,2,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,961,2,,San Jose,CA
