listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
846639,"Antique Storybook Cottage Set on Historic Road in Barrytown, NY (Hudson Valley)",42.0066429,-73.913141,"Barrytown, NY, USA",1,,772,525,625,,,4.0%,3,7,4,2,farmhouse,Yes,2016,Within a day,100%,"June 5, 2017",farmhouse,,2000,7,,Kingston,NY
4288886ha,Newly Restored Farmhouse With Private Beach On Creek 2 Hours North Of Nyc,42.1082484,-73.8162315,"Germantown, NY, USA",1,,250,250,,,60,8.0%,3,5,3,1,house,No,2016,Within a few hours,100%,"May 1, 2017",house,,1200,,,Kingston,NY
4218865ha,Romantic & Luxurious Sunny Mountainside Cottage With Views,,,"Woodstock, NY, USA",38,4.8,172,195,,,75,,2,2,1,1,cottage,Yes,2016,Within a few hours,100%,"June 4, 2017",cottage,,500,,,Kingston,NY
4437109ha,Beautiful Modern Hudson Valley Farmhouse,,,"Accord, NY, USA",1,,319,300,,,150,2.0%,3,8,3,3,house,Yes,2017,Within 12 hours,100%,"June 6, 2017",house,,3800,8,,Kingston,NY
1061231,"New! Wittenberg House W. Heated Pool, 3 Br., 2 1/2 Ba, Wifi, Cable, Fire Pit",42.037611,-74.165414,"Bearsville, NY, USA",1,,414,325,,,175,,2,6,3,2,house,Yes,2012,Within an hour,100%,"June 7, 2017",house,,,,,Kingston,NY
135286,Mr Ed's Cabin on 27 acre Horse Farm Hot Tub & Stream,,,"Accord, NY, USA",16,4.8,107,100,125,,,10.0%,2,4,Studio,1,cabin,No,2007,Within 12 hours,100%,"May 15, 2017",cabin,,400,4,,Kingston,NY
470107,Inground POOL/Cozy Romantic home in Woodstock w/Mountain views/private -10acres,42.024354,-74.130909,"Woodstock, NY, USA",28,4.9,243,225,,,60,,2,3,1,,studio,Yes,2004,Within a few hours,90%,"June 4, 2017",studio,2,700,3,,Kingston,NY
903212ha,"'A Place in the Woods' - Cabin on Chloe's Lake on 20 acres near Woodstock, NY",42.0409247,-74.1181971,"Woodstock, NY, USA",18,4.6,102,115,135,,,,,2,Studio,,cottage,No,2006,Within 12 hours,80%,"June 6, 2017",cottage,,80,2,,Kingston,NY
433963,National Register Historic Hudson River Estate Carriage House,42.11008774,-73.90450114,"Germantown, NY, USA",14,,443,500,800,,200,,2,12,4,4,estate,Yes,2012,Within a few hours,90%,"May 26, 2017",estate,,,12,,Kingston,NY
591626,Luxury & Sustainability: State-Of-The-Art Home on 8 Private Acres,,,"Red Hook, NY, USA",9,,500,500,,,200,,2,6,3,3,house,Yes,2015,Within a day,100%,"April 16, 2017",house,,2400,6,,Kingston,NY
752016,Recently Renovated 4/5 BR House and Pool - Idyllic Hudson River Location,41.999166,-73.924668,"Barrytown, NY, USA",5,,436,450,,,,4.0%,3,9,5,4,house,Yes,2015,Within a few days,40%,"May 22, 2017",house,,,9,,Kingston,NY
768060,Hill House-Close To Beach & Lighthouse And Easy Stroll To Shops And Restaurants,42.069605,-73.9478335,"Saugerties, NY, USA",3,,225,195,,,120,,2,5,3,1,house,Yes,2016,Within an hour,100%,"June 5, 2017",house,,,,,Kingston,NY
999872ha,5 min. to Hits..Pool,42.1147109,-73.9767767,"Saugerties, NY, USA",2,,514,500,,,160,,3,9,4,3,estate,Yes,2003,Within an hour,100%,"June 5, 2017",estate,,2350,9,,Kingston,NY
3592054ha,"Updated, Authentic, Original, Wide Boards, Acreage, In Ground Pool",41.694833,-74.1079759,"New Paltz, NY, USA",5,4.4,286,300,,,,,2,6,3,2,farmhouse,Yes,2013,Within a day,100%,"April 10, 2017",farmhouse,,2800,6,,Kingston,NY
510356,Beautiful New Contemporary Nestled On 24 Private Acres,42.12125231,-73.74955071,"Elizaville, NY, USA",13,,286,,,,150,,7,6,3,2,chateau / country house,Yes,2013,Within an hour,100%,"May 10, 2017",chateau / country house,,1900,6,,Kingston,NY
644993,1700's stone farm house with scenic views of the Hudson Valley,41.84368004,-74.1998378,"Accord, NY, USA",8,,800,800,,,,,3,10,5,5,farmhouse,Yes,2014,Within 2 days,90%,"May 22, 2017",farmhouse,,5000,10,,Kingston,NY
690681,Splendid Views of the Hudson River with Waterfront Access,41.89062,-73.962621,"Ulster Park, NY, USA",6,4.8,280,230,,,150,,3,8,4,3,house,Yes,2015,Within a few hours,100%,"May 14, 2017",house,,2236,8,,Kingston,NY
791262,Cozy Mountain Retreat Woodstock,42.06254965,-74.25066289,"Woodstock, NY, USA",7,4.7,208,245,,,,,2,6,3,2,house,No,2015,Within a few days,90%,"April 18, 2017",house,,,6,,Kingston,NY
4141377ha,Farm House in a lovely setting,41.861854,-73.693777,"Stanfordville, NY, USA",1,,,1,,,,,3,10,4,4,estate,Yes,2016,Within a few days,90%,"May 24, 2017",estate,,,10,,Kingston,NY
867476,Lovely Cabin Nestled On The Plattekill Stream,42.074642,-74.022166,"Saugerties, NY, USA",0,,86,100,,,,10.0%,2,2,1,1,cabin,Yes,2015,Within a few hours,100%,"June 7, 2017",cabin,,190,2,,Kingston,NY
4221526ha,"Stunning Private Views Of The Hudson Valley - 4 Miles From Rhinebeck, New York",41.859718,-73.91414,"Staatsburg, NY, USA",3,,457,350,,,,,7,6,3,2,house,Yes,2016,Within a day,100%,"June 1, 2017",house,,2700,6,,Kingston,NY
955208,"37 Acres, Pool and Beautiful House",,,"Rhinebeck, NY, USA",0,,,1,,,400,,3,11,6,4,house,Yes,2016,Within a day,100%,"June 1, 2017",house,,5500,,,Kingston,NY
971437,"The Haven - a wonderful private, retreat on 6 acres - NEW hot tub & fire pit",,,"Saugerties, NY, USA",2,,325,315,325,,175,2.0%,2,8,3,2,house,Yes,2016,Within a day,100%,"June 5, 2017",house,,,8,,Kingston,NY
