listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4439879ha,"Quiet, private room with key, near Manhattan 89s1",40.63531635,-74.12122324,"Staten Island, NY, USA",0,,40,30,,,10,,,2,3,1,house,No,2016,Within 2 days,100%,"May 15, 2017",house,,,,,Edison,NJ
4483474ha,Private In Town Apartment On Main Street,40.31616288,-74.51477969,"Cranbury, NJ, USA",0,,119,115,,,10,7.0%,,2,1,1,studio,Yes,2017,,,"June 7, 2017",studio,1,,,,Edison,NJ
884588,Baltusrol PGA Golf Tournament home rental -minutes away - beautiful pool and hom,40.65439,-74.357016,"Westfield, NJ, USA",0,,,2,,,250,,3,11,5,5,house,Yes,2016,Within 2 days,90%,"June 26, 2016",house,,,11,,Edison,NJ
4489314ha,Luxury Residential Apartments at Princeton Forrestal and Forrestal Village is just a short drive away,40.3616542,-74.619548,"Princeton, NJ, USA",0,,225,,,,,,2,5,2,2,apartment,Yes,2014,Within a day,,"June 7, 2017",apartment,,,5,,Edison,NJ
4067237ha,Gorgeous 2 Bedroom Home SI FERRY,40.5795317,-74.1502007,"Staten Island, NY, USA",0,,157,,,,,,3,7,2,1,apartment,Yes,2013,,,"June 7, 2017",apartment,,80,7,,Edison,NJ
4104825ha,Group Accommodation 2 WITH 2 BATHROOMS,40.5795317,-74.1502007,"Staten Island, NY, USA",0,,302,,,,,,3,12,4,2,apartment,Yes,2013,,,"June 7, 2017",apartment,,160,12,,Edison,NJ
4504582ha,Quaint village atmosphere with ease to NYC,,,"Chatham, NJ, USA",0,,300,300,,,125,,2,6,3,2,house,No,2017,Within a few days,70%,"May 26, 2017",house,,,,,Edison,NJ
4446705ha,"Quiet, private room with key, near Manhattan 85s3",40.635296,-74.1213654,"Staten Island, NY, USA",0,,35,33,,,10,,,2,3,1,house,Yes,2016,Within 2 days,80%,"May 5, 2017",house,,,2,,Edison,NJ
976680,Spacious Private Single Bedroom with Private Bath in Princeton,,,"Princeton, NJ, USA",0,,380,380,,,300,11.0%,22,6,5,3,house,No,2016,Within a few days,80%,"May 19, 2017",house,,,,,Edison,NJ
1062694,The Ulimate In Coziness!,,,"Maplewood, NJ, USA",0,,348,350,,,125,,2,7,4,2,house,No,2017,Within 12 hours,100%,"June 2, 2017",house,,,,,Edison,NJ
4067007ha,STUNNING 7 BEDROOM HOME WITH 4 BATHROOM,40.5795317,-74.1502007,"Staten Island, NY, USA",0,,549,,,,,,3,16,7,4,apartment,Yes,2013,,,"June 7, 2017",apartment,,1000,16,,Edison,NJ
860098,"Baltusrol Pga Championship - Private Home Rental, Minutes From Course W/ Pool!",40.693606,-74.345974,"Mountainside, NJ, USA",0,,,1,,,,,7,8,4,3,house,No,2016,,0%,"May 4, 2016",house,,,8,,Edison,NJ
4591515ha,"NEW! Inviting 3BR Watchung Home w/Deck, Pool & Gym",40.65294,-74.43791,"Watchung, NJ, USA",0,,277,,,,,,2,8,3,3,house,Yes,1999,Within an hour,,"June 7, 2017",house,,2500,8,,Edison,NJ
4254715ha,PGA Rental Available,40.696723,-74.3935319,"New Providence, NJ, USA",0,,,,,,,,,8,4,2,house,No,2016,,,"July 19, 2016",house,,,8,,Edison,NJ
3666464ha,Executive Home In Florham Park - Practice Facility Home for AFC Team,40.778243,-74.375701,"Florham Park, NJ, USA",0,,,,,,500,,,12,5,4,house,No,2013,Within a few days,60%,"November 27, 2013",house,,,12,,Edison,NJ
3791692ha,Luxury Living Steps From The Beach,40.573904,-74.095017,"Midland Beach, Staten Island, NY, USA",7,3.4,108,90,,,70,,4,6,2,1,cottage,Yes,2013,Within a few days,40%,"April 16, 2017",cottage,,,6,,Edison,NJ
721405,Art Infused Apartment Near Transit To Nyc,40.7362317,-74.2519466,"Maplewood, NJ, USA",1,,92,110,,,,,2,4,1,1,apartment,No,2015,Within an hour,100%,"June 7, 2017",apartment,1,500,4,house,Edison,NJ
1035666,4 Bedroom newly renovated 2 floor home. xpress bus direct Manhattan or SI Ferry.,,,"Castleton Corners, Staten Island, NY, USA",0,,295,295,,,125,,2,8,4,1,house,Yes,2017,Within a few days,90%,"May 12, 2017",house,,1500,8,,Edison,NJ
776151,Renovated French Cottage 4BR/4BA,40.741047,-74.314523,"Short Hills, Millburn, NJ, USA",0,,217,,,,,,30,6,4,4,house,No,2015,Within a day,100%,"June 3, 2017",house,,,6,,Edison,NJ
