listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
877025,Beautful Hillside Property With Stunning Views In Gated Community,33.6012943,-112.0417317,"Phoenix, AZ, USA",7,4.9,225,,,,,,3,8,2,2,house,Yes,2016,Within a few hours,100%,"May 19, 2017",house,,2250,8,,Phoenix,AZ
966203,"Gorgeous Remodel, Quiet Interior Location, , Pool View",,,"Phoenix, AZ, USA",1,,69,,,,75,,30,2,1,1,condo,Yes,2013,Within a few days,40%,"April 6, 2017",condo,2,850,2,building,Phoenix,AZ
1010854,"Beautiful 3 bedroom home with pool, shopping, golf, major sporting venues.",,,"Maryvale Village, Phoenix, AZ, USA",12,4.9,125,175,,,125,,3,6,3,2,house,Yes,2015,Within a few hours,100%,"June 9, 2017",house,,1527,6,,Phoenix,AZ
4499877ha,Resort Style 1BD 1BA condo in the Heart of Scottsdale,33.5851434,-111.974661,"Tuscany Villas Condominium, Phoenix, AZ, USA",0,,107,,,,,,7,2,1,1,condo,Yes,2001,Within an hour,,"June 9, 2017",condo,,750,2,,Phoenix,AZ
3691490ha,The Cloisters - Ground Floor Poolside Condo,33.51283,-112.029202,"Cloisters, Phoenix, AZ, USA",2,,121,,,,,,1,4,2,2,condo,Yes,2014,Within an hour,100%,"May 29, 2017",condo,1,1100,4,building,Phoenix,AZ
579354,Ahwatukee Mountain View!!,33.361944,-111.983008,"Ahwatukee Foothills Village, Phoenix, AZ, USA",2,4.5,156,165,,,,,3,6,3,2,house,Yes,2014,Within an hour,100%,"May 28, 2017",house,,1500,,,Phoenix,AZ
743013,Scottsdale Condo with golf course views,33.58382748,-111.97149208,"Milano Terrace Condominium, Phoenix, AZ, USA",9,4.6,74,,,,150,6.0%,6,2,1,1,condo,Yes,2015,Within 2 days,100%,"May 16, 2017",condo,2,850,2,building,Phoenix,AZ
752701,Darling Desert Home,33.299534,-112.031962,"Ahwatukee Foothills Village, Phoenix, AZ, USA",10,4.5,230,,,,,,3,6,3,2,house,Yes,2009,Within an hour,,"June 8, 2017",house,,1800,6,,Phoenix,AZ
4025547ha,"Spacious, Clean And Quiet Condo In Beautiful North Phoenix",33.64110922,-112.05555909,"Deer Valley, Phoenix, AZ, USA",16,,95,95,,,50,,2,4,2,1,condo,Yes,2015,Within a day,100%,"May 25, 2017",condo,2,978,4,building,Phoenix,AZ
805538,Excellent Value Winter Getway,33.389806,-112.179756,"Laveen Village, Phoenix, AZ, USA",6,4.7,149,149,,,150,12.57%,4,8,3,2,house,Yes,2016,Within a few days,40%,"June 3, 2017",house,,2250,8,,Phoenix,AZ
954546,Luxurious N. Scottsdale condo with amazing amenities ~ newly listed,,,"Desert View, Phoenix, AZ, USA",3,4.7,17,,,,100,7.95%,90,6,2,2,condo,Yes,2013,Within a few hours,100%,"June 5, 2017",condo,1,980,6,building,Phoenix,AZ
449521,Beautiful 3BR/2BA Home on the Desert Foothills Scenic Drive,33.6952039,-112.029571,"Crescent Butte, Phoenix, AZ, USA",17,4.9,171,180,205,,125,7.6%,4,6,3,2,house,Yes,2012,Within a few days,60%,"March 2, 2017",house,,1650,6,,Phoenix,AZ
457418,Baseball fan? Perfect location to see all pre-season action!,33.3949544,-112.0360015,"South Mountain Village, Phoenix, AZ, USA",22,4.6,87,100,,,,,2,5,2,2,house,Yes,2013,Within a few days,80%,"June 4, 2017",house,,1050,5,,Phoenix,AZ
670444,Phoenix Sunshine Retreat,33.294991,-112.068316,"Ahwatukee Foothills Village, Phoenix, AZ, USA",5,4.6,159,295,,,,12.57%,3,12,4,2,house,Yes,2015,Within 12 hours,100%,"June 7, 2017",house,,2700,12,,Phoenix,AZ
4212623ha,Never a better time to be in Phoenix!,33.642059,-112.0072532,"Parque Vista Estates, Phoenix, AZ, USA",4,4.8,190,179,,,,6.0%,2,6,3,2,house,Yes,2016,Within 12 hours,100%,"April 24, 2017",house,,,6,,Phoenix,AZ
966251,North Central Phoenix Spacious Condo,33.5163498,-112.0742786,"Alhambra, Phoenix, AZ, USA",6,4.8,117,145,,,,12.67%,3,4,2,2,condo,Yes,2016,Within 2 days,100%,"May 21, 2017",condo,2,1367,4,,Phoenix,AZ
975620,Central Phoenix Historic  Willo area,,,"Willo, Phoenix, AZ, USA",1,,150,149,,,150,,7,4,3,2,house,Yes,2016,Within an hour,100%,"April 29, 2017",house,,1794,4,,Phoenix,AZ
901659,Golf course home.  Amazing location.  Gorgeous views!,33.694912,-111.958906,"Desert View Village, Phoenix, AZ, USA",7,4.9,380,500,,,200,12.57%,3,10,5,4,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,4054,10,,Phoenix,AZ
4070822ha,Expansive Vacation Home for your next AZ Vacation! Back yard PARADISE!,33.81835517,-112.05485754,"Desert Hills, New River, AZ, USA",3,,175,,,,,,1,10,4,2,house,Yes,2007,Within an hour,,"June 9, 2017",house,,3250,10,,Phoenix,AZ
4109337ha,"Beautifully Maintained 3BR Phoenix House w/Spacious Private Patio, Updated Kitchen & Access to Community Pools - Just 1 Mile to Ahwatukee Country Club! Near Casinos, Restaurants & More",33.32164,-111.99786,"Ahwatukee Foothills Village, Phoenix, AZ, USA",4,3.8,123,,,,,,30,8,3,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1800,8,,Phoenix,AZ
270645,Central Phoenix - Royal Palm Villa,,,"Sunkissed Groves, Phoenix, AZ, USA",6,4.8,264,300,,,200,,2,14,4,3,house,Yes,2008,Within a day,100%,"June 7, 2017",house,,,14,,Phoenix,AZ
508302,Thunderbird Mountain- Luxury in Glendale! Great mountain views & guest house!,33.703315,-112.190676,"Deer Valley Village, Phoenix, AZ, USA",9,4.7,310,,,,,,3,12,5,5,house,Yes,2012,Within an hour,,"June 2, 2017",house,,4400,12,,Phoenix,AZ
610008,"Vacation Condo For Rent, Avondale, Phoenix, Arizona",33.5029899,-112.280285,"Maryvale Village, Phoenix, AZ, USA",12,4.6,100,100,,,60,,2,8,3,2,condo,Yes,2014,Within a few days,70%,"May 16, 2017",condo,1,1150,8,,Phoenix,AZ
625108,"Vacation Home For Rent In Avondale, Phoenix",33.5029899,-112.280285,"Maryvale Village, Phoenix, AZ, USA",8,4.5,100,100,,,60,,2,5,2,1,condo,Yes,2014,Within a few hours,80%,"May 26, 2017",condo,1,950,5,,Phoenix,AZ
659056,Biltmore Luxury Condo in the prime of Phoenix - Great Ammenties,33.51255175,-112.016284,"Biltmore Terrace Condominiums, Phoenix, AZ, USA",2,4.5,50,,,,,,30,6,1,1,condo,Yes,2014,Within a few days,70%,"May 24, 2017",condo,3,1200,6,building,Phoenix,AZ
721217,"Luxury, Comfort & Convenience In Moon Valley",33.630199,-112.081064,"Tamarac At Moon Valley, Phoenix, AZ, USA",7,4.7,100,,,,,,7,4,2,2,house,Yes,2015,Within a day,100%,"June 4, 2017",house,,1136,4,,Phoenix,AZ
775781,Hollyhock #7 Great Location!,33.48503241,-111.95036668,"Camelback East Village, Phoenix, AZ, USA",15,4.9,74,69,85,,59,5.1%,2,4,1,1,condo,Yes,2015,Within a few hours,100%,"June 9, 2017",condo,1,,4,building,Phoenix,AZ
920314,4 Bed 3 Bath Home Pool-Washer/Dryer-WiFi- By Hit Rentals,33.308294,-111.983156,"Ahwatukee Foothills Village, Phoenix, AZ, USA",4,4.3,199,,,,,,3,8,4,3,house,Yes,2016,Within an hour,,"June 9, 2017",house,,2200,8,,Phoenix,AZ
956916,Getaway to the center of it all - everything you need in minutes!,33.48397,-112.01508483,"Spanish Gardens, Phoenix, AZ, USA",3,4.3,94,129,,,125,,3,6,2,1,condo,Yes,2016,Within 2 days,100%,"June 4, 2017",condo,1,900,6,building,Phoenix,AZ
591359,Beautiful Home in Downtown Phoenix,33.450127,-112.055798,"Central City, Phoenix, AZ, USA",38,,252,275,299,,,,2,7,3,2,house,Yes,2014,Within a few hours,100%,"May 28, 2017",house,,1485,7,,Phoenix,AZ
673085,"AS SEEN ON TV! Quiet N Phoenix home-Great value for Golf, Baseball,Kids,Seniors",33.648597,-112.137631,"Glendale, AZ, USA",34,4.6,133,159,,,,15.0%,2,8,3,2,house,Yes,2015,Within a few hours,100%,"May 24, 2017",house,,1400,8,,Phoenix,AZ
909488,Beautifully Charming Redbrick Home,33.486479,-112.101892,"Encanto, Phoenix, AZ, USA",3,,73,85,,,30,12.57%,2,6,3,2,house,Yes,2016,Within 12 hours,100%,"June 9, 2017",house,,1300,6,,Phoenix,AZ
960371,SCOTTSDALE!!  Summer rates are GREAT! 2 BD/BA GARAGE-Old Town/Papago Park,,,"Camelback East Village, Phoenix, AZ, USA",8,4.9,129,185,,,125,,7,4,2,2,condo,Yes,2015,Within an hour,100%,"June 4, 2017",condo,,1276,4,,Phoenix,AZ
584748,Anasazi Resort 3rd Floor pool and golf Course Frontage - What A View,33.597776,-111.989232,"Phoenix, AZ, USA",2,4.5,37,80,,,,,10,3,1,1,condo,Yes,2014,Within a few days,70%,"May 13, 2017",condo,3,850,3,building,Phoenix,AZ
686649,Centrally located in resort setting,33.6302365,-112.1027472,"Northgate, Phoenix, AZ, USA",10,4.8,157,175,,,145,12.57%,3,6,3,2,house,Yes,2015,Within a day,100%,"May 28, 2017",house,,1750,6,,Phoenix,AZ
1027290,Golfers dream come true!,,,"Phoenix, AZ, USA",0,,43,50,,,125,2.5%,5,4,1,1,condo,Yes,2016,Within a few hours,88%,"May 8, 2017",condo,,,,,Phoenix,AZ
80815,Beautiful Golf Course & Pool Views!,33.59940338,-111.98783112,"Phoenix, AZ, USA",15,,57,,,,,,30,4,1,1,condo,Yes,2006,Within a few days,50%,"June 6, 2017",condo,4,850,4,,Phoenix,AZ
711321,The Wilshire House In Central Phoenix,33.475496,-112.075877,"Willo, Phoenix, AZ, USA",24,,237,285,,,95,5.0%,3,8,3,2,house,Yes,2015,Within a few hours,80%,"May 16, 2017",house,,1876,8,,Phoenix,AZ
4082894ha,"Very Convenient 3BR Phoenix House w/Wifi, Private Diving Pool, Covered Porch & Lush Yard - Easy Access to Major Sports Venues, Downtown, Outdoor Activities & More!",33.64459,-112.00678,"Parque Vista Estates, Phoenix, AZ, USA",10,4.4,117,,,,,,2,10,3,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1550,10,,Phoenix,AZ
466417,Centrally located Guest House,33.478445,-112.036378,"Villa Potrero, Phoenix, AZ, USA",24,4.7,125,125,,,,,5,4,Studio,1,cottage,Yes,2013,Within an hour,90%,"March 14, 2017",cottage,,800,4,,Phoenix,AZ
3799732ha,"Brand New, 10 min. from Sky Harbor Airport, Great Location",33.479495,-111.962559,"Sherwood Towne, Phoenix, AZ, USA",7,4.7,119,,,,100,,7,2,1,1,condo,Yes,2013,Within a day,90%,"March 22, 2017",condo,2,450,2,,Phoenix,AZ
620306,Beautiful Single Level Home in the Heart of Phoenix,33.611961,-111.985798,"Roadrunner Estates East, Phoenix, AZ, USA",21,,146,,,,200,7.0%,5,6,3,2,house,Yes,2014,Within an hour,100%,"June 8, 2017",house,,1882,6,,Phoenix,AZ
666509,"Private Home in North Phoenix With Pool Close To Desert Ridge, Scottsdale, P.V.",33.666719,-112.024644,"Desert View Village, Phoenix, AZ, USA",5,3.8,150,150,189,,100,,,8,3,2,house,Yes,2015,Within a day,90%,"June 6, 2017",house,,1728,8,,Phoenix,AZ
770332,"Discounted Summer Rates! EZ access to Scottsdale, Desert Ridge, Mayo, Kierland!",33.650442,-111.985214,"Desert View Village, Phoenix, AZ, USA",14,4.6,115,265,,,,12.57%,4,9,4,2,house,Yes,2015,Within a few hours,90%,"June 8, 2017",house,,1800,,,Phoenix,AZ
451632,Spectacular panoramic Phoenix Valley views and desert mountain hiking /bicycling,33.3439925,-112.1207817,"Laveen Village, Phoenix, AZ, USA",3,,80,80,,,,7.27%,5,8,2,2,house,Yes,2016,,,"May 26, 2017",house,,1700,8,,Phoenix,AZ
985458,"2BR Condo Salt Water Pool + Hot Tub, Gorgeous grounds, 5 min from Stadium/Arena",,,"Maryvale Village, Phoenix, AZ, USA",3,,119,119,,,140,5.3%,7,4,2,2,condo,No,2016,Within a few hours,100%,"April 23, 2017",condo,,,,,Phoenix,AZ
3628900ha,Luxury House In Paradise Valley With Private Pool & Hot Tub.,33.5815027,-111.9830479,"Montecito Court, Phoenix, AZ, USA",8,4.4,280,280,,,150,,6,4,2,2,villa,Yes,2013,Within a few days,70%,"March 24, 2017",villa,,2200,4,,Phoenix,AZ
956081,"Large 5 Br Private Home W/ Heated Pool, Jacuzzi Tub, Office...",33.621751,-112.040634,"Phoenix, AZ, USA",5,,399,399,,,199,1.95%,5,12,5,4,house,Yes,2016,Within 12 hours,100%,"April 13, 2017",house,,4350,12,,Phoenix,AZ
4331037ha,Ahwatukee Retreat with Extended Patio for outdoor living,33.327938,-111.994937,"Ahwatukee, Phoenix, AZ, USA",2,,145,145,,,200,8.5%,14,4,2,1,house,Yes,2008,Within 12 hours,100%,"May 18, 2017",house,,,4,,Phoenix,AZ
