listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
740612,Mid Century Neighborhood 3 blks to Reed 1 BD/1BA With PINBALL & OUTDOOR BBQ!!,45.488919,-122.631709,"Reed, Portland, OR, USA",33,4.8,119,119,,,30,10.0%,1,4,1,1,apartment,Yes,2015,Within an hour,100%,"June 9, 2017",apartment,1,800,4,house,Concord,SC
802618,"22 Close in, Tree Views, Cumfy",45.4898346,-122.6784839,"Homestead, Portland, OR, USA",28,4.8,126,125,150,,60,12.5%,2,6,2,1,apartment,Yes,2015,Within 12 hours,100%,"June 7, 2017",apartment,1,800,6,building,Concord,SC
344349,"That Blue Cottage: Fully Updated 1bd, Heart of NE Alberta Arts",,,"Alberta Arts District, Portland, OR, USA",79,4.8,150,150,,,50,11.5%,2,4,1,1,house,Yes,2011,Within a few hours,100%,"June 4, 2017",house,,650,4,,Concord,SC
566301,HISTORIC GEM in Premiere NW Location!,45.5315732,-122.7010223,"Uptown, Portland, OR, USA",53,4.7,128,115,135,,,11.0%,3,3,1,1,apartment,Yes,2014,Within 12 hours,100%,"June 9, 2017",apartment,1,524,3,house,Concord,SC
638526,Craft European Pacific Northwest Portland Inspired Guest Inn,45.52013,-122.589724,"Mount Tabor, Portland, OR, USA",38,,146,155,,,,11.5%,3,4,1,1,house,Yes,2014,Within an hour,100%,"June 9, 2017",house,,650,4,,Concord,SC
655777,Boutique-Hotel Style Apt. in the Sunnyside/Laurelhurst area,45.5180999,-122.631895,"Sunnyside, Portland, OR, USA",81,4.9,125,125,,,35,11.5%,,4,1,1,house,Yes,2014,Within an hour,90%,"June 9, 2017",house,,900,4,,Concord,SC
512525,Best Walking Location In PDX,,,"Slabtown, Portland, OR, USA",63,,347,345,,,130,12.5%,3,6,3,2,apartment,Yes,2013,Within a few hours,100%,"June 8, 2017",apartment,2,2200,6,,Concord,SC
724477,NEW YEAR SPECIAL in Historic Urban Villa,45.53380575,-122.64097381,"Sullivan's Gulch, Portland, OR, USA",72,4.9,164,179,,,,,,6,2,1,condo,Yes,2015,Within an hour,100%,"June 9, 2017",condo,1,1100,6,villa,Concord,SC
4118596ha,"Portland One Bedroom in Arbor Lodge, new construction",45.5716638,-122.6993071,"Arbor Lodge (Portland, OR, USA)",41,,119,99,125,,75,11.5%,2,3,1,1,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,700,,,Concord,SC
729178,"Beautiful University Park Art House In N. Portland, Near U. Of P.",45.5769475,-122.7205401,"University Park (Portland, OR, USA)",54,4.9,130,130,,,75,11.5%,2,5,2,1,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,1200,5,,Concord,SC
814764,NEW YEAR SPECIAL in Historic Urban Villa,45.5337891,-122.6414789,"Sullivan's Gulch, Portland, OR, USA",38,4.8,179,179,,,,,,6,2,1,condo,Yes,2015,Within a few hours,100%,"June 5, 2017",condo,1,1100,6,villa,Concord,SC
