listing_id,total_number_reviews,n_review,reviewer_name,title,stars,stayed,source,submitted,city,state
909405,4,1,Clare S.,Perfect little apartment for a few months stay.,4,2017-03-20T00:00:00.000+0000,VRBO,2017-05-11T22:09:00.000+0000,Houston,TX
909405,4,2,Andrea D.,Hopkins Apt,5,2016-10-30T00:00:00.000+0000,VRBO,2016-12-22T17:34:47.940+0000,Houston,TX
909405,4,3,Michael H.,'BEAUTIFUL APARTMENT',5,2016-10-25T00:00:00.000+0000,VRBO,2016-11-04T17:11:00.000+0000,Houston,TX
909405,4,4,Marion L.,Very comfortable apt. in a great location,5,2016-09-30T00:00:00.000+0000,VRBO,2016-10-05T02:19:00.000+0000,Houston,TX
705661,11,1,Ursula M.,Wonderful townhouse in a perfect location,5,2017-02-01T00:00:00.000+0000,VRBO,2017-02-08T17:59:00.000+0000,Houston,TX
705661,11,2,Kimberly G.,Nicely remodeled property. Convenient location.,5,2016-10-18T00:00:00.000+0000,VRBO,2016-10-24T19:36:00.000+0000,Houston,TX
705661,11,3,Courtney S.,A Great Place to Stay,5,2016-07-12T00:00:00.000+0000,VRBO,2016-08-23T15:19:00.000+0000,Houston,TX
705661,11,4,Heidi D.,Great Location,5,2016-06-03T00:00:00.000+0000,VRBO,2016-06-20T14:17:00.000+0000,Houston,TX
705661,11,5,J and J,Exceeded Expectations,5,2016-04-01T00:00:00.000+0000,VRBO,2016-04-08T16:09:00.000+0000,Houston,TX
705661,11,6,nicole c.,Perfect for a family of 4,4,2016-03-18T00:00:00.000+0000,VRBO,2016-03-30T16:21:00.000+0000,Houston,TX
705661,11,7,sara f.,Quiet and Comfortable,5,2016-02-08T00:00:00.000+0000,VRBO,2016-02-23T18:22:00.000+0000,Houston,TX
705661,11,8,Bobbie,Winning Combination,5,2015-12-28T00:00:00.000+0000,VRBO,2016-01-09T20:34:00.000+0000,Houston,TX
705661,11,9,Juan G.,Perfect place.,5,2015-09-26T00:00:00.000+0000,VRBO,2015-10-07T17:32:33.453+0000,Houston,TX
705661,11,10,Wenchen S.,"Great property, well maintained ",5,2015-07-27T00:00:00.000+0000,VRBO,2015-08-17T15:44:38.293+0000,Houston,TX
705661,11,11,Maureen  M.,Everything was perfect! ,5,2015-04-14T00:00:00.000+0000,VRBO,2015-04-24T00:01:25.683+0000,Houston,TX
3586501ha,10,1,Stacie D.,"The house had nice, newer furnishings and the location is ideal and priced right.",4,2016-12-20T00:00:00.000+0000,VRBO,2016-12-30T19:24:00.000+0000,Houston,TX
3586501ha,10,2,vacation planner,A home in the family neighborhood,4,2016-11-22T00:00:00.000+0000,VRBO,2016-11-27T00:52:00.000+0000,Houston,TX
3586501ha,10,3,Sharron W.,Great for the price,4,2016-04-01T00:00:00.000+0000,VRBO,2016-04-09T01:14:00.000+0000,Houston,TX
3586501ha,10,4,Garcia E.,Perfect space,5,2015-12-26T00:00:00.000+0000,VRBO,2016-01-12T03:56:07.077+0000,Houston,TX
3586501ha,10,5,Jonathan W.,This Experience Damaged Us,1,2015-11-21T00:00:00.000+0000,VRBO,2015-12-10T01:28:46.997+0000,Houston,TX
3586501ha,10,6,Philip O.,"Excellent, comfortable home for a family",5,2015-10-21T00:00:00.000+0000,VRBO,2015-11-11T11:27:25.323+0000,Houston,TX
3586501ha,10,7,Chin W.,Excellent owner. Terrible management company,2,2015-03-17T00:00:00.000+0000,VRBO,2015-04-01T16:36:12.477+0000,Houston,TX
3586501ha,10,8,nnenna n.,A GOOD DEAL FOR A VERY COMFORTABLE HOME!!!,4,2014-10-03T00:00:00.000+0000,VRBO,2014-11-10T01:40:12.127+0000,Houston,TX
3586501ha,10,9,David S.,Clean & well kept house close to main routes,4,2014-04-19T00:00:00.000+0000,VRBO,2014-05-14T17:51:28.027+0000,Houston,TX
3586501ha,10,10,Link,Unsatisfied ,1,2014-02-01T00:00:00.000+0000,VRBO,2014-04-14T19:47:42.793+0000,Houston,TX
507483,25,1,Fran L.,a sweet stay,4,2017-02-07T00:00:00.000+0000,VRBO,2017-03-11T19:15:00.000+0000,Houston,TX
507483,25,2,Anonymous,Wonderful place and great location,5,2016-11-24T00:00:00.000+0000,VRBO,2016-11-27T22:57:00.000+0000,Houston,TX
507483,25,3,Todd W.,Great property. Updated property that is very comfortable.,5,2016-10-05T00:00:00.000+0000,VRBO,2016-11-06T05:55:00.000+0000,Houston,TX
507483,25,4,Mimi,Sanctuary,5,2016-08-02T00:00:00.000+0000,VRBO,2016-10-05T12:38:00.000+0000,Houston,TX
507483,25,5,Lisa S.,Beautiful and Comfortable,5,2016-06-06T00:00:00.000+0000,VRBO,2016-08-17T19:04:00.000+0000,Houston,TX
507483,25,6,Carol K.,Great Gem in Bellaire!,5,2016-04-09T00:00:00.000+0000,VRBO,2016-04-17T15:02:00.000+0000,Houston,TX
507483,25,7,Andrew C.,Beautiful home,5,2015-12-26T00:00:00.000+0000,VRBO,2016-01-18T07:21:00.000+0000,Houston,TX
507483,25,8,Marlena G.,Very pleasant and comfortable.,5,2015-12-22T00:00:00.000+0000,VRBO,2016-01-07T15:04:00.000+0000,Houston,TX
507483,25,9,Alma &amp; Eivind A.,"Safe, Quiet, Clean Condo",5,2015-12-09T00:00:00.000+0000,VRBO,2015-12-15T22:37:27.690+0000,Houston,TX
507483,25,10,Sylvia R.,Perfect stay,5,2015-08-29T00:00:00.000+0000,VRBO,2015-10-19T13:23:00.000+0000,Houston,TX
507483,25,11,Serkan E.,"Excellent townhome, great remodel, great location",5,2015-07-17T00:00:00.000+0000,VRBO,2015-08-20T20:05:32.290+0000,Houston,TX
507483,25,12,Lisa S.,Quiet Spot in the Hustle and Bustle of Houston,5,2015-06-07T00:00:00.000+0000,VRBO,2015-07-23T15:31:36.460+0000,Houston,TX
507483,25,13,john d.,Very Convenient!,4,2015-05-28T00:00:00.000+0000,VRBO,2015-06-04T20:56:47.253+0000,Houston,TX
507483,25,14,Dore Rogers,Wonderful home!,5,2015-05-08T00:00:00.000+0000,VRBO,2015-05-22T20:16:24.657+0000,Houston,TX
507483,25,15,San Diegan,Great quiet comfortable stay,5,2015-05-03T00:00:00.000+0000,VRBO,2015-05-17T20:38:12.730+0000,Houston,TX
507483,25,16,Lillian P.,beautiful and clean!,5,2015-04-23T00:00:00.000+0000,VRBO,2015-05-01T04:23:42.530+0000,Houston,TX
507483,25,17,Bonnie C.,"Lovely, quiet and convenient",5,2014-12-07T00:00:00.000+0000,VRBO,2014-12-14T10:33:37.210+0000,Houston,TX
507483,25,18,Sue F.,Terrific Thanksgiving holiday ,5,2014-11-25T00:00:00.000+0000,VRBO,2014-11-30T23:53:29.510+0000,Houston,TX
507483,25,19,Kristina B.,Felt like home!!,5,2014-09-17T00:00:00.000+0000,VRBO,2014-09-22T21:40:20.277+0000,Houston,TX
507483,25,20,Ashli  A.,"Great Condo, Great Owner, Great Location, Great Attention to Detail, Beautiful Design! ",5,2014-06-26T00:00:00.000+0000,VRBO,2014-08-12T21:59:34.573+0000,Houston,TX
507483,25,21,lior,Ron and Linda from FL,5,2014-04-27T00:00:00.000+0000,VRBO,2014-06-03T18:21:36.717+0000,Houston,TX
507483,25,22,Anonymous,Nicely decorated and cozy,4,2014-04-07T00:00:00.000+0000,VRBO,2014-04-13T00:49:50.710+0000,Houston,TX
507483,25,23,Sheryl B.,Perfect for our stay,5,2014-03-27T00:00:00.000+0000,VRBO,2014-04-03T15:04:49.040+0000,Houston,TX
507483,25,24,lior,"Linda O (Ponte Vedra Beach, Fl)",5,2014-01-18T00:00:00.000+0000,VRBO,2014-02-21T20:11:15.490+0000,Houston,TX
507483,25,25,Marjorie  M.,Designer townhouse n Houston,4,2013-12-27T00:00:00.000+0000,VRBO,2014-01-16T02:34:42.180+0000,Houston,TX
359909,9,1,Cathy B.,Met our needs for a family reunion.,4,2016-10-03T00:00:00.000+0000,VRBO,2016-10-17T05:51:00.000+0000,Houston,TX
359909,9,2,Stephanie V.,Great Property; missing a few things,3,2015-12-23T00:00:00.000+0000,VRBO,2016-01-16T19:37:56.323+0000,Houston,TX
