listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city
32727,2BR/2BA Condominium in North Dallas for Monthly Rentals,33.00344849,-96.79920959,"Far North Dallas, Dallas, TX, USA",4,4.8,60,,,,,,90,3,2,2,condo,Yes,2003,Within a few days,60%,"February 3, 2017",condo,2,900,3,building,Dallas
568863,House On Golf Course,32.947328,-96.8570979,"Far North Dallas, Dallas, TX, USA",8,4.8,257,275,,,,,5,8,3,2,house,Yes,2014,Within a day,100%,"June 7, 2017",house,,2500,8,,Dallas
79084,2BR/2BA House in North Dallas,,,"Far North Dallas, Dallas, TX, USA",5,4.8,80,,,,,,31,4,2,2,house,Yes,2003,Within a few days,70%,"May 10, 2017",house,,,4,,Dallas
853159,Mid Century Modern Gem in Bishop Arts District,32.7557693,-96.8282757,"Oak Cliff, Dallas, TX, USA",5,,185,185,225,,,10.0%,3,6,2,1,house,Yes,2016,Within an hour,100%,"June 1, 2017",house,,900,6,,Dallas
910503,"Newly Remodeled, Detached Garage Apartment In University Park",,,"Park Cities, TX, USA",15,4.7,83,80,95,,40,,1,2,Studio,1,studio,Yes,2016,Within a few hours,100%,"June 6, 2017",studio,2,500,2,house,Dallas
4290921ha,Creekside living by White Rock Lake!,32.8382928,-96.7456745,"Lakewood, Dallas, TX, USA",2,4.5,404,375,550,,125,,4,10,4,3,house,Yes,2016,Within 12 hours,100%,"May 21, 2017",house,,2500,10,,Dallas
4316555ha,Love Field Landing Ranch House,,,"Northwest Dallas, Dallas, TX, USA",4,4.8,143,175,,,125,13.0%,2,9,3,2,house,Yes,2013,Within a day,90%,"June 5, 2017",house,,,,,Dallas
655065,"Luxurious White Rock Lake Home With Spa Bath, Walk To Arboretum",32.819571,-96.710178,"Little Forest Hills, Dallas, TX, USA",1,,131,,,,,,7,5,2,2,house,Yes,2014,Within 12 hours,100%,"June 7, 2017",house,,1600,5,,Dallas
749241,2624 Thomas Ave - Uptown Dallas - Walk to All the Hottest Spots in Dallas,32.794999,-96.798655,"Oak Lawn, Dallas, TX, USA",42,4.9,525,525,,,150,,2,16,4,2,house,Yes,2015,Within 2 days,100%,"May 15, 2017",house,,2503,16,,Dallas
652540,"4400 SF w/ 5 BRs, 5 Baths, Pool, Hot Tub, Game Room, Outdoor Living, 12 beds",,,"Garland, TX, USA",38,,645,595,695,,,13.0%,2,18,5,3,house,Yes,2013,Within an hour,100%,"June 6, 2017",house,,4400,18,,Dallas
331263,Dallas Condo Near Downtown & S.M.U.,,,"Northeast Dallas, Dallas, TX, USA",39,4.6,109,,,,129,15.0%,3,4,2,2,condo,Yes,2010,Within 12 hours,100%,"June 6, 2017",condo,2,1155,,building,Dallas
677341,Incredible Executive Style Home Located On Canyon Creek Golf Course,32.98417,-96.733821,"Richardson, TX, USA",15,4.7,595,595,,,325,13.0%,3,20,5,3,estate,Yes,2015,Within an hour,100%,"June 6, 2017",estate,,3828,20,,Dallas
4265366ha,"Entire Home in West Plano, 3 Bed, Modern and Luxury! Near Richardson, DART.",33.024233,-96.7308849,"Plano, TX, USA",16,4.9,181,168,198,,100,,3,8,3,2,house,Yes,2016,Within an hour,100%,"June 6, 2017",house,,2000,8,,Dallas
905547,Lakeside Single Family Home - Nature in Your Back Yard,32.821584,-96.494125,"Heath, TX, USA",12,,166,180,220,,,6.0%,2,8,3,2,house,Yes,2007,Within an hour,100%,"June 6, 2017",house,,1862,,,Dallas
949169,"Entire house. Updated and peaceful near Frisco, Plano, Dallas and The Colony.",,,"Northeast Carrollton, Carrollton, TX, USA",6,4.5,239,226,238,,95,,1,8,3,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,1418,8,,Dallas
595893,Quaint Duplex In Lower Greenville Avenue Area,32.8148895,-96.7735,"Lower Greenville, Dallas, TX, USA",57,,100,120,,,,,2,3,2,1,apartment,Yes,2014,Within a few hours,100%,"May 30, 2017",apartment,2,1000,3,,Dallas
468677,BISHOP ARTS MANOR: Walk to Bishop Arts!!  Trolley to Uptown/Downtown/West End,32.752661,-96.827489,"Oak Cliff, Dallas, TX, USA",53,4.8,500,575,,,,8.25%,2,14,7,3,house,Yes,2012,Within an hour,100%,"June 6, 2017",house,,3276,,,Dallas
675435,THE BEST DALLAS HAS TO OFFER!! SLEEPS 17 IN BEDS. INCREDIBLE POOL AND SPA!!!,32.895719,-96.731255,"Lake Highlands, Dallas, TX, USA",37,4.9,,900,1,,,,2,23,5,5,house,Yes,2014,Within an hour,100%,"June 6, 2017",house,,5000,23,,Dallas
3786682ha,Spectacular View - Downtown Dallas (See Virtual Tour) 3 Month Min,32.7797992,-96.8014214,"Main Street District, Dallas, TX, USA",1,,90,,,,,,60,2,1,1,condo,Yes,2014,Within a day,100%,"June 5, 2017",condo,,,2,building,Dallas
927739,Vintage Condo Located In Desirable Area,32.8671622,-96.7992739,"North Dallas, Dallas, TX, USA",6,4.3,141,,,,90,,7,4,2,2,condo,Yes,2016,Within a few hours,90%,"May 8, 2017",condo,2,1794,,building,Dallas
3498139ha,"Knox-Henderson/SMU - Shopping, Restaurants And Lively Entertainment Scene",32.8155392,-96.7847976,"Old East Dallas, Dallas, TX, USA",29,4.9,152,160,175,,60,,3,4,2,1,house,Yes,2012,Within a few hours,100%,"May 26, 2017",house,,1400,,,Dallas
427746,STATE THOMAS OASIS: Luxurious Vacation Home! Walk around the heart of Dallas!,32.7949259,-96.7987519,"Oak Lawn, Dallas, TX, USA",60,4.9,500,525,,,150,8.25%,2,14,4,3,house,Yes,2012,Within a few hours,100%,"June 6, 2017",house,,2612,,,Dallas
3870213ha,Nice 1 Bedroom Apartment in Dallas,32.8071323,-96.7962219,"Uptown, Dallas, TX, USA",25,4.8,97,85,105,,,,2,2,1,1,apartment,Yes,2014,Within a day,90%,"June 7, 2017",apartment,4,765,2,,Dallas
950707,"""Ask About Our Summer/Fall Specials""",,,"Duncanville, TX, USA",6,,184,190,,,175,,2,7,4,3,house,Yes,2014,Within an hour,100%,"June 7, 2017",house,,2459,,,Dallas
