listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4443614ha,Hot Duplex Loft Style Elevator One Bedroom Apartment with Private Terrace,,,"Midtown, New York, NY, USA",0,,290,295,,,1,9.0%,2,4,1,1,apartment,Yes,2005,Within a day,100%,"March 18, 2017",apartment,,,,,New York,NY
4436020ha,"New And Modern In Gramercy Park, Washer & Dryer",,,"Midtown, New York, NY, USA",0,,320,320,,,120,6.0%,5,4,1,1,apartment,No,2009,,,"May 15, 2017",apartment,,,,,New York,NY
664465,Sunny Williamsburg Artist's Loft,40.7082519,-73.9511366,"Williamsburg, Brooklyn, NY, USA",0,,157,190,,,,8.75%,3,2,1,1,apartment,No,2017,,,"May 20, 2017",apartment,,,2,,New York,NY
4497650ha,Midtown East Studio | Fully Equipped Kitchen | Views of East River,40.753236,-73.966554,"Midtown, New York, NY, USA",0,,278,,,,,,30,2,Studio,1,apartment,Yes,2014,Within an hour,,"June 7, 2017",apartment,,414,2,,New York,NY
4561563ha,Two bedroom apartment with fab views and great amenities,,,"Fulton Ferry District, Brooklyn, NY, USA",0,,200,200,,,100,,30,4,2,1,apartment,No,2017,Within a few days,60%,"May 22, 2017",apartment,,,,,New York,NY
4498818ha,Modern 2 Bedroom Apartment with Exposed Brick,,,"Lower Manhattan, New York, NY, USA",0,,158,158,,,,,30,4,2,1,apartment,No,2015,,,"May 11, 2017",apartment,,,,,New York,NY
4481450ha,"Glamorous & Cozy SoHo 2 Bedroom / 2 Bathroom - Two Bedroom Apartment, Sleeps 7",40.72702,-74.002098,"Lower Manhattan, New York, NY, USA",0,,553,,,,,,1,7,2,2,apartment,Yes,2017,Within an hour,,"June 6, 2017",apartment,,0,,,New York,NY
4507494ha,United Nations Luxury 3 bed 3 bath Apartment in Manhattan,,,"Midtown, New York, NY, USA",0,,,1,,,194,,30,8,3,3,apartment,No,2017,,,"April 10, 2017",apartment,,,,,New York,NY
4497898ha,Stunning Fully Furnished Newley Renovated 1 Bedroom | Hell's Kitchen,,,"Midtown, New York, NY, USA",0,,156,156,,,110,6.0%,30,1,1,1,apartment,No,2017,,,"April 17, 2017",apartment,,,,,New York,NY
4258517ha,Beautiful 2 Bedroom Apartment In The Heart Of Astoria Minutes From Manhattan,40.764456,-73.921898,"Astoria, Queens, NY, USA",0,,200,200,,,100,,30,6,2,1,apartment,Yes,2016,Within a day,100%,"October 26, 2016",apartment,1,900,6,building,New York,NY
4359723ha,Doorman 2 bedroom GYM Deck Lounge! 5138,,,"Midtown, New York, NY, USA",0,,180,180,,,250,10.0%,30,5,2,1,house,No,2014,,,"May 10, 2017",house,,,,,New York,NY
1052831,NYC 3BR DOORMAN apartment  FAMILY/shares. Sunset over river. On park. Dogs ok.,,,"Upper West Side, New York, NY, USA",0,,350,350,,,200,5.9%,30,8,3,2,apartment,No,2017,,,"May 17, 2017",apartment,,,,,New York,NY
1995103ha,"1 bedroom home in Park Slope, curated and serviced by onefinestay",40.67268664,-73.97302914,"Park Slope, Brooklyn, NY, USA",0,,345,,,,,,7,4,1,1,house,Yes,2012,Within an hour,,"June 6, 2017",house,,,4,,New York,NY
1082119,"Modern Townhouse-- Wall of Glass & Garden ,NY
West Harlem Available July 21-Sept 4",,,"Upper Manhattan, New York, NY, USA",0,,800,800,,,,8.0%,5,8,4,4,townhome,No,2009,,,"May 25, 2017",townhome,,,,,New York,NY
4438587ha,"Center City, Convenient, Legal & Private , Walk to Attractions",,,"Midtown, New York, NY, USA",0,,428,450,,,185,5.88%,4,10,3,1,townhome,No,2004,Within 12 hours,100%,"June 5, 2017",townhome,,,,,New York,NY
4569277ha,Beautiful Brooklyn Brownstone,,,"Bedford-Stuyvesant, Brooklyn, NY, USA",0,,150,150,,,75,5.87%,3,4,1,1,apartment,No,2017,,,"June 6, 2017",apartment,,,,,New York,NY
4497372ha,Duplex Apartment on Upper West Side,,,"Upper West Side, New York, NY, USA",0,,200,200,,,100,8.0%,7,3,2,1,apartment,No,2017,,,"May 15, 2017",apartment,,,,,New York,NY
4539870ha,Fully Furnished 3 Bedroom Apartment!,,,"Bushwick, Brooklyn, NY, USA",0,,120,,,,,8.88%,60,8,3,1,apartment,Yes,2017,,,"June 5, 2017",apartment,3,950,,house,New York,NY
354974,"2 Bdrm/1bthrm Vacational Month Rental Upper E. Side Manhattan,",40.77164078,-73.95254517,"Upper East Side, New York, NY, USA",0,,150,,,,120,,30,5,2,1,apartment,Yes,2009,Within 2 days,100%,"June 1, 2017",apartment,3,,5,,New York,NY
4535806ha,"Charming Townhouse Apartment, in the heart of West Village - Fully Serviced",40.7354683,-74.006648,"Lower Manhattan, New York, NY, USA",0,,585,585,,,100,14.75%,3,4,1,1,apartment,Yes,2017,,,"June 5, 2017",apartment,,,,house,New York,NY
4564129ha,"Sleek, Modern Chelsea 1 bed -- Fully Serviced",40.743722,-74.0028449,"Midtown, New York, NY, USA",0,,414,400,,,100,14.75%,4,3,1,1,apartment,Yes,2017,,,"June 5, 2017",apartment,,,,house,New York,NY
4497797ha,Furnished Apartment - Beautiful 3 Bedroom | Nolita!,,,"Lower Manhattan, New York, NY, USA",0,,235,235,,,250,6.0%,30,6,3,1,apartment,No,2017,,,"April 18, 2017",apartment,,,,,New York,NY
4587703ha,"Two floors plus garden in beautiful brick brownstone in Boerum Hill, Brooklyn",40.6845687,-73.9870114,"Boerum Hill, Brooklyn, NY, USA",0,,167,,,,150,,30,3,2,2,house,Yes,2017,,,"June 2, 2017",house,,1700,,,New York,NY
4265003ha,Large 1 Bedroom Ap Central Park UES,,,"Upper East Side, New York, NY, USA",0,,195,195,,,,5.0%,3,3,1,1,apartment,No,2016,Within 12 hours,100%,"May 16, 2017",apartment,,,3,,New York,NY
4571920ha,Triplex with private terrace - East village  Manhattan,40.7240413,-73.9782925,"Lower Manhattan, New York, NY, USA",0,,400,400,,,120,,14,8,4,3,apartment,No,2012,,,"May 30, 2017",apartment,3,2000,,building,New York,NY
3582247ha,Gorgeous Modern Apartment in high security luxury building,40.7937123,-73.97182123,"Upper West Side, New York, NY, USA",0,,510,495,525,,150,,2,4,2,2,apartment,No,2017,,,"May 24, 2017",apartment,11,1500,,building,New York,NY
4477751ha,Luxury Modern Furnished 1 BR Apartment w Washer/Dryer Near Central Park,,,"Upper West Side, New York, NY, USA",0,,187,187,,,200,,29,3,1,1,apartment,Yes,2012,Within a few hours,100%,"June 6, 2017",apartment,4,550,3,building,New York,NY
4539815ha,Luxury Wall Street Fully Furnished Studio In Doorman Building,,,"Lower Manhattan, New York, NY, USA",0,,300,300,,,150,7.0%,2,2,1,1,studio,No,2017,,,"May 9, 2017",studio,,,,,New York,NY
4436301ha,MORNINGSIDE HGTS FURNISHED STUDIO.,40.80863,-73.95455,"Upper Manhattan, New York, NY, USA",0,,63,63,,,45,,30,2,1,1,studio,No,2016,Within 12 hours,100%,"March 10, 2017",studio,,,,,New York,NY
4440433ha,Bronx Home - 30 minutes from midtown Manhattan!,40.849936,-73.903239,"West Bronx, Bronx, NY, USA",0,,120,120,,,40,,5,2,1,1,apartment,Yes,2017,,,"May 16, 2017",apartment,5,800,2,building,New York,NY
1015594,Perfect Studio For 2 East 60th Street,,,"Upper East Side, New York, NY, USA",0,,158,,,,226,,30,2,1,1,studio,Yes,2014,Within a few hours,100%,"May 29, 2017",studio,3,,2,building,New York,NY
4517383ha,"Spacious apartment sleeps up to 10,   minutes to Manhattan",,,"Sunnyside, Queens, NY, USA",0,,286,345,395,,200,5.88%,,10,2,1,apartment,No,2016,Within an hour,100%,"June 5, 2017",apartment,1,,,house,New York,NY
4482324ha,Top Central Park View In Manhattan!,,,"Midtown, New York, NY, USA",0,,494,,,,200,,30,2,1,1,condo,Yes,2015,,,"June 6, 2017",condo,38,,2,building,New York,NY
4474033ha,Beautiful fully furnished studio available,,,"Williamsburg, Brooklyn, NY, USA",0,,165,165,,,200,5.88%,30,2,1,1,apartment,No,2017,Within a few days,60%,"March 20, 2017",apartment,,,,,New York,NY
4465591ha,Come experience New York from our place,40.75153,-73.89344,"Flushing, Queens, NY, USA",0,,100,75,85,,25,0.72%,3,2,1,1,townhome,Yes,2017,,,"March 6, 2017",townhome,,,2,,New York,NY
4437708ha,Superior King RoomTRUMP SOHO Up to 20% Off,40.7254587,-74.0054881,"Lower Manhattan, New York, NY, USA",0,,347,,,,,,,2,1,1,condo,No,2009,Within 2 days,,"June 6, 2017",condo,,,2,,New York,NY
1027013,High End Midtown 1br by Times Square,40.7615355,-73.9993152,"Midtown, New York, NY, USA",0,,369,,,,,,3,4,1,1,condo,Yes,2016,Within a few hours,,"June 6, 2017",condo,,725,4,,New York,NY
1044782,Deluxe Studio Elevator Laundry WiFi,,,"Midtown, New York, NY, USA",0,,100,,,,100,,30,2,1,1,apartment,No,2017,,,"April 26, 2017",apartment,,,,,New York,NY
1080787,Home Theater With Quiet Luxury,,,"Bushwick, Brooklyn, NY, USA",0,,120,120,,,30,,,2,1,1,apartment,No,2017,,,"May 24, 2017",apartment,,,,,New York,NY
4570454ha,Luxury Furnished 1 BR Apt w Washer/Dryer in UWS Near Central Park,,,"Upper West Side, New York, NY, USA",0,,187,187,,,200,,30,3,1,1,apartment,Yes,2012,,,"June 6, 2017",apartment,,,,,New York,NY
4196428ha,Luxury Rental In High Rise With The Best View,40.76402671,-73.99272177,"Hell's Kitchen, New York, NY, USA",0,,350,350,,,125,,14,3,1,1,apartment,No,2016,Within a few days,83%,"September 30, 2016",apartment,23,,3,building,New York,NY
4489892ha,One Of A Kind 3 Bedroom | Soho,,,"Lower Manhattan, New York, NY, USA",0,,236,236,,,300,6.0%,,1,3,1,apartment,No,2017,,,"May 12, 2017",apartment,,,,,New York,NY
1062190,Heart of Queens/ Jackson Heights-Elmhurst,,,"Flushing, Queens, NY, USA",0,,108,85,95,,,,,3,1,1,bed & breakfast,Yes,2017,,,"May 30, 2017",bed & breakfast,,,,,New York,NY
1046791,The Perfect Chelsea Studio,,,"Midtown, New York, NY, USA",0,,105,105,,,100,,60,2,1,1,apartment,Yes,2017,Within a few days,56%,"June 7, 2017",apartment,,,,,New York,NY
1074504,Fifth Avenue Ultra Luxurious Large 3 Bedroom - Domenico Vacca Building - Gym /Doorman/Elevator,40.7622211,-73.9757064,"Midtown, New York, NY, USA",0,,500,,,,,,18,8,3,2,apartment,Yes,2014,,,"June 6, 2017",apartment,,1300,,,New York,NY
4503048ha,Greenwich Village Apartment,,,"Lower Manhattan, New York, NY, USA",0,,270,270,,,120,,3,4,1,1,apartment,Yes,2009,,,"May 24, 2017",apartment,,,,,New York,NY
4299267ha,Luxurious Bedroom w/ Private bathroom and private entrance,,,"Prospect Lefferts Gardens, Brooklyn, NY, USA",0,,131,129,139,,40,5.88%,2,4,1,1,house,No,2017,,,"May 30, 2017",house,,,,,New York,NY
4556793ha,Newly Renovated Apartment For The Traveler,,,"Canarsie, Brooklyn, NY, USA",0,,110,110,,,50,5.88%,2,4,1,1,house,No,2017,,,"June 6, 2017",house,,,,,New York,NY
4199905ha,"Modern spacious 2 bd 2 bth apt 45 min from Time Sq, close to the train",40.6103186,-73.9749979,"Mapleton, Brooklyn, NY, USA",0,,271,230,,,,,4,8,2,,apartment,Yes,2016,Within a few hours,85%,"June 5, 2017",apartment,4,1000,8,building,New York,NY
935476,SPENDING NEW YEAR'S EVE IN NEW YORK CITY!! Daily Breakfast & Wine Reception incl,,,"Midtown, New York, NY, USA",0,,998,998,,,,,4,2,1,1,apartment,Yes,2016,Within a few days,42%,"December 9, 2016",apartment,,,2,,New York,NY
4569050ha,"Great room in Beautiful Bed-Stuy Brooklyn! Fully furnished, perfect for summer!",,,"Bedford-Stuyvesant, Brooklyn, NY, USA",0,,34,34,,,,,30,1,4,1,apartment,No,2017,Within a few hours,100%,"May 26, 2017",apartment,,,,,New York,NY
1026297,NEW - 1 Bed. Apt.10 min. to Manhattan!,,,"Woodside, Queens, NY, USA",0,,130,130,,,60,,,4,1,1,apartment,Yes,2017,Within a few days,66%,"June 7, 2017",apartment,,,4,,New York,NY
4457979ha,Beautiful 2 Bedroom Apartment Available,,,"Flushing, Queens, NY, USA",0,,125,125,,,150,,30,5,2,1,apartment,Yes,2017,Within a few days,100%,"June 5, 2017",apartment,1,1100,,house,New York,NY
898865,Luxury 1 Br in Hotel Style Building in Financial District,40.7092191,-74.0137534,"Lower Manhattan, New York, NY, USA",0,,,,,,,,180,3,1,1,apartment,No,2016,,,"August 2, 2016",apartment,,,3,building,New York,NY
1067519,Mini Loft in Tribeca,,,"Lower Manhattan, New York, NY, USA",0,,275,275,,,80,,,2,1,1,apartment,No,2017,,,"May 14, 2017",apartment,,,,,New York,NY
4490132ha,Fully Furnished Apartment - Sunny 2 Bedroom Rental | Soho!,,,"Lower Manhattan, New York, NY, USA",0,,188,188,,,250,6.0%,30,4,2,1,apartment,No,2017,,,"April 18, 2017",apartment,,,,,New York,NY
3950344ha,Private Room Near Hospital/University,40.8676839,-73.8437639,"East Bronx, Bronx, NY, USA",0,,40,40,,,25,,3,1,1,1,house,No,2017,,,"May 1, 2017",house,,,,,New York,NY
4528585ha,Corner Studio Apartment With A/C And Wifi,40.75322772,-73.96744325,"Midtown East, New York, NY, USA",0,,103,,,,100,,30,2,1,1,apartment,No,2017,,,"May 11, 2017",apartment,,,,,New York,NY
955727,Delightful 2 Rooms By 12 Trains,,,"Boerum Hill, Brooklyn, NY, USA",0,,200,200,,,40,5.88%,,1,2,1,apartment,No,2017,,,"May 13, 2017",apartment,,,,,New York,NY
