listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
1083339,Sophisticated and Cozy Carriage House in Prospect Newtown,40.1367549,-105.1068697,"Longmont, CO, USA",0,,90,99,,,65,8.26%,2,2,1,1,guest house,Yes,2017,,,"June 8, 2017",guest house,,520,,,Boulder,CO
739127,"Family-friendly, 3 BR on Open Space & Hiking Trails, Amazing View of Rocky Mtns!",39.9969517,-105.1415295,"Louisville, CO, USA",3,,225,225,,,120,,3,6,3,2,house,Yes,2015,Within a few days,80%,"January 13, 2017",house,,,6,,Boulder,CO
4482488ha,NEW! Remodeled 2BR Golden House - Near Downtown!,39.74947,-105.21538,"Golden, CO, USA",0,,188,,,,,,2,8,2,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1580,8,,Boulder,CO
4585903ha,Bright & Airy Family House Near Bike Tails and Rec Center,,,"Louisville, CO, USA",0,,220,220,,,160,9.0%,4,8,4,3,house,Yes,2017,,,"June 4, 2017",house,,2700,,,Boulder,CO
1042747,Retreat House with Breathtaking Vistas,,,"Black Hawk, CO, USA",0,,357,350,,,250,,2,10,4,2,house,Yes,2017,Within 12 hours,100%,"June 7, 2017",house,,3300,10,,Boulder,CO
4507079ha,Convenient West Denver location!,39.817846,-105.031387,"Denver, CO, USA",0,,125,125,,,50,,,6,3,1,house,Yes,2017,Within an hour,100%,"June 8, 2017",house,,1000,,,Boulder,CO
1072777,Wildflower House Nestled in the Pines,,,"Nederland, CO, USA",0,,225,225,,,99,,2,4,2,2,house,No,2014,Within 12 hours,100%,"June 8, 2017",house,,,,,Boulder,CO
560494,Stunning Home on 6 acres perfect Retreat or Family Getaway,40.1646328,-105.239888,"Longmont, CO, USA",0,,800,700,,,250,4.99%,7,10,4,3,house,Yes,2016,,,"March 17, 2017",house,,3700,10,,Boulder,CO
1082350,"Peak to Peak Mountain Home at 8500 ft in Golden, CO",39.9250634,-105.4033286,"Coal Creek, CO, USA",0,,235,235,275,,125,2.9%,2,8,3,2,house,Yes,2017,,,"June 9, 2017",house,,2048,,,Boulder,CO
4444725ha,Boulder Luxury Farmette: MILSTON WELL FARM,,,"Erie, CO, USA",0,,166,165,170,,65,,,4,1,1,house,No,2017,Within 12 hours,100%,"May 3, 2017",house,,,,,Boulder,CO
4500540ha,"Private guest home: gateway to Denver, Boulder, mountains",39.8202952,-105.0566515,"Lamar Heights Area, Arvada, CO, USA",0,,87,87,,,,4.5%,2,4,2,1,house,No,2017,Within a day,90%,"May 31, 2017",house,,,,,Boulder,CO
3570613ha,Enjoy a quiet escape near a pond and 10 miles outside of Estes Park - welcome to family friendly Villa Montana!,40.1949531,-105.5223721,"Allenspark, CO, USA",0,,136,,,,,,3,5,2,1,cabin,No,2013,,,"June 8, 2017",cabin,,,,,Boulder,CO
805312,"Rocky Mts: no tent required, incl. campfire, fishing optional, close to Estes Pk",40.22534512,-105.27309543,"Lyons, CO, USA",1,,203,199,220,,,8.48%,2,5,2,1,house,Yes,2016,Within a day,90%,"June 7, 2017",house,,204,,,Boulder,CO
4359252ha,3BR Golden Home Near Red Rocks & Eldora!,39.91344,-105.38381,"Coal Creek Canyon, CO, USA",4,,235,,,,,,2,8,3,2,house,Yes,1999,Within an hour,,"June 9, 2017",house,,1700,8,,Boulder,CO
